run,N,n1,n2,angle1_deg,angle2_deg,dirX,dirY
83,100,26,0,0.0,90.0,0.980480423380874,0.19661673216403056
84,100,23,0,0.0,90.0,0.9931610248754852,0.11675263880647764
85,100,44,0,0.0,90.0,0.7439120523206858,0.6682775309794766
86,100,29,0,0.0,90.0,0.5660606208888692,0.8243636172702601
87,100,43,0,0.0,90.0,0.9729237512614988,-0.23112631661334715
88,100,24,0,0.0,90.0,0.9611982867588859,-0.2758583939846357
89,100,47,0,0.0,90.0,0.8458525525406757,-0.5334167782891942
90,100,27,0,0.0,90.0,0.6268679173886327,-0.7791255445362053
91,100,29,0,0.0,90.0,0.9969130249826799,-0.07851382438706497
92,100,41,0,0.0,90.0,0.980586913868237,-0.19608494167163038
93,100,23,0,0.0,90.0,0.9315305006162669,0.36366320465728635
94,100,30,0,0.0,90.0,0.7433571456441371,0.6688947256630158
95,100,39,0,0.0,90.0,0.999752147288137,0.022263063418118803
96,100,43,0,0.0,90.0,0.9319507439553014,0.36258490156259976
97,100,29,0,0.0,90.0,-0.925998350001572,-0.37752755633776736
98,100,48,0,0.0,90.0,0.9516923221758413,0.30705329164748363
99,100,24,0,0.0,90.0,0.7394764069083065,-0.673182474241554
100,100,30,0,0.0,90.0,0.9998781251761207,0.015612008015810957
run,N,n1,n2,angle1_deg,angle2_deg,dirX,dirY
1,100,35,0,0.0,90.0,0.04649978343096624,0.9989183000330274
2,100,32,0,0.0,90.0,0.3995785264258206,0.916698969792903
3,100,28,0,0.0,90.0,0.9780778063227645,0.2082397771292716
4,100,43,0,0.0,90.0,0.9999888115820659,0.00473040280393569
5,100,31,0,0.0,90.0,0.9770379053200074,-0.21306555697224347
6,100,21,0,0.0,90.0,0.9874059755841267,-0.15820695111391025
7,100,24,0,0.0,90.0,0.0897662342057925,0.9959628623580855
8,100,36,0,0.0,90.0,0.9716593588025659,0.23638547005132632
9,100,41,0,0.0,90.0,0.968951206394354,0.24725201642641084
10,100,44,0,0.0,90.0,0.9995775715642029,-0.02906335193694771
11,100,26,0,0.0,90.0,0.052491376362478026,-0.9986213774036548
12,100,26,0,0.0,90.0,0.9938041976783328,-0.11114502542590513
13,100,30,0,0.0,90.0,0.9544006987803586,-0.29852856842781905
14,100,30,0,0.0,90.0,0.9933010815580535,0.11555501449786168
15,100,46,0,0.0,90.0,0.9997784284427846,-0.021049798585155235
16,100,27,0,0.0,90.0,0.9959978962746248,-0.08937667825849194
17,100,39,0,0.0,90.0,0.9894695680766487,-0.14474105792832379
18,100,21,0,0.0,90.0,-0.13640048006632768,-0.9906537785915295
19,100,42,0,0.0,90.0,0.917181340353126,-0.3984700602404695
20,100,40,0,0.0,90.0,0.9873199116539285,0.1587431637951021
21,100,47,0,0.0,90.0,0.9989614362479834,0.04556367949766826
22,100,23,0,0.0,90.0,0.5108711204157215,0.859657314471985
23,100,36,0,0.0,90.0,0.9967202986030191,0.08092370698817798
24,100,36,0,0.0,90.0,0.9362308551071925,-0.35138552324370914
25,100,42,0,0.0,90.0,0.9968380563689409,0.07945998599667767
26,100,26,0,0.0,90.0,0.9965437390602639,-0.08306970651079
27,100,34,0,0.0,90.0,0.8983662849647013,-0.4392471036201846
28,100,23,0,0.0,90.0,0.8987176045709332,-0.4385278408884479
29,100,32,0,0.0,90.0,0.7679616038633392,-0.6404958821035837
30,100,33,0,0.0,90.0,0.9708144808940066,0.23983169866908938
31,100,41,0,0.0,90.0,0.9159629067695082,0.4012629479809385
32,100,41,0,0.0,90.0,0.984017012328325,0.17807447725161865
33,100,38,0,0.0,90.0,-0.99966340733082,-0.025943632045934053
34,100,28,0,0.0,90.0,0.9991201785867301,0.041938869093248524
35,100,49,0,0.0,90.0,0.9926859143604286,0.12072562043907613
36,100,36,0,0.0,90.0,-0.9971818327235233,0.07502261316533156
37,100,46,0,0.0,90.0,0.9917136795113614,0.12846780869165975
38,100,43,0,0.0,90.0,0.9634793751148694,0.26778254933483026
39,100,35,0,0.0,90.0,0.6242158695403124,-0.7812519108546434
40,100,26,0,0.0,90.0,0.9486134445262935,0.31643724948867946
41,100,48,0,0.0,90.0,0.9988672026949487,-0.047584780974260554
42,100,21,0,0.0,90.0,0.6464087870083782,0.7629912712989296
43,100,29,0,0.0,90.0,0.9992038950649179,-0.039894562124387155
44,100,30,0,0.0,90.0,0.5139754556231445,-0.8578048909961875
45,100,22,0,0.0,90.0,0.8474265478126436,0.5309126538917162
46,100,40,0,0.0,90.0,0.9945834939334235,-0.10394072154446372
47,100,32,0,0.0,90.0,0.9962549721669858,0.08646404126894824
48,100,37,0,0.0,90.0,0.9798996286471997,0.19949114711455262
49,100,26,0,0.0,90.0,0.997329594604781,0.07303204588030686
50,100,33,0,0.0,90.0,-0.9998302839795601,0.018422899808448967
51,100,29,0,0.0,90.0,0.6897034711563073,-0.7240919291602005
52,100,36,0,0.0,90.0,0.9981870474376783,0.060188190931863034
53,100,24,0,0.0,90.0,-0.25043181818819144,-0.968134238852731
54,100,23,0,0.0,90.0,0.8138990768115084,0.5810062760120362
55,100,38,0,0.0,90.0,0.9649454556411761,0.26245050511942847
56,100,43,0,0.0,90.0,0.9991933141121371,0.0401586981064398
57,100,41,0,0.0,90.0,0.9976269364794055,0.06885125714695496
58,100,46,0,0.0,90.0,0.9990588041397933,-0.043376328461110725
59,100,22,0,0.0,90.0,0.8202170068442328,0.5720524990623568
run,N,n1,n2,angle1_deg,angle2_deg,dirX,dirY
1,100,39,0,0.0,90.0,0.8412692509672602,-0.5406163587767068
2,100,41,0,0.0,90.0,0.983293312418778,-0.18202818944467727
3,100,48,0,0.0,90.0,0.5930650952816504,0.8051545148346166
4,100,21,0,0.0,90.0,0.19925471837737996,0.9799477318736703
5,100,32,0,0.0,90.0,0.9813262371076235,-0.19235076387733055
6,100,23,0,0.0,90.0,0.9942032404198736,0.10751705324562637
7,100,47,0,0.0,90.0,0.9947785428389837,-0.10205709532976183
8,100,22,0,0.0,90.0,0.9985844182357934,0.053189845428259316
9,100,49,0,0.0,90.0,0.9968086829822677,0.07982762386014612
10,100,31,0,0.0,90.0,0.929226752910878,-0.3695100021308033
11,100,44,0,0.0,90.0,0.9825727300490985,0.1858785360493818
12,100,45,0,0.0,90.0,0.9970308856837362,-0.07700268172410933
13,100,26,0,0.0,90.0,0.9893972823245611,0.14523435450599437
14,100,35,0,0.0,90.0,0.9945152716516819,-0.1045914645254652
15,100,38,0,0.0,90.0,-0.3598793768305475,0.9329988392983439
16,100,46,0,0.0,90.0,0.9908861576786014,0.13470197667791614
17,100,41,0,0.0,90.0,0.9923423794328873,-0.12351761810153132
18,100,27,0,0.0,90.0,0.7560527872779953,0.6545106438012863
19,100,46,0,0.0,90.0,0.9940855781481548,-0.10859955486947864
20,100,45,0,0.0,90.0,0.9981190875854687,0.06130486928092709
21,100,20,0,0.0,90.0,0.9975477229412646,0.06998957389996223
22,100,49,0,0.0,90.0,0.9765385150755231,0.2153428163976972
23,100,30,0,0.0,90.0,0.9992747423875835,-0.03807872406250642
24,100,20,0,0.0,90.0,-0.7781135176993499,-0.6281236769725717
25,100,21,0,0.0,90.0,-0.8205927137271644,0.5715134278194065
26,100,27,0,0.0,90.0,-0.9884733609614145,0.1513948964451745
27,100,48,0,0.0,90.0,0.9999984277415513,0.0017732778760084823
28,100,39,0,0.0,90.0,0.9884897889429655,-0.15128759749395065
29,100,40,0,0.0,90.0,0.8216149775494033,-0.5700428305544185
30,100,27,0,0.0,90.0,0.3720894367765189,-0.9281968816147429
31,100,41,0,0.0,90.0,0.9911159707000813,-0.13300049858265853
32,100,25,0,0.0,90.0,0.9280165054580714,-0.3725390792888573
33,100,32,0,0.0,90.0,0.9864169560464942,0.16426073427319465
34,100,26,0,0.0,90.0,-0.8816321458895876,0.4719372408849728
35,100,35,0,0.0,90.0,0.45302262891267076,-0.8914990172137335
36,100,22,0,0.0,90.0,0.9998929347975322,0.014632803626720052
37,100,36,0,0.0,90.0,0.7529272670378809,-0.6581037384416439
38,100,20,0,0.0,90.0,0.9854028990379355,0.17023844033482025
39,100,25,0,0.0,90.0,0.4930748674989895,0.8699868821084913
40,100,39,0,0.0,90.0,0.999421535512478,0.034008739375056385
41,100,26,0,0.0,90.0,0.596116806962341,0.8028977222890988
42,100,47,0,0.0,90.0,0.9993825980892722,0.03513435122976128
43,100,34,0,0.0,90.0,0.9984108349303773,0.05635427839682642
44,100,46,0,0.0,90.0,0.9996467119903576,-0.026579149852223313
45,100,22,0,0.0,90.0,0.6914504919831758,0.722423848676263
46,100,31,0,0.0,90.0,0.9998755485242112,-0.015776167576682616
47,100,33,0,0.0,90.0,0.9612920552506687,0.27553145829822234
48,100,37,0,0.0,90.0,0.9794991293239805,0.2014483945172168
49,100,24,0,0.0,90.0,-0.9987997606365717,0.04897997705519299
50,100,24,0,0.0,90.0,0.5556739272568622,0.8314003166747866
51,100,43,0,0.0,90.0,0.9973534180574345,0.07270597973449072
52,100,29,0,0.0,90.0,-0.9936099875418907,0.11286803204186735
53,100,29,0,0.0,90.0,0.9979432777736422,0.06410315395048286
54,100,32,0,0.0,90.0,0.981429112145402,0.1918251751816948
55,100,24,0,0.0,90.0,0.9993694391542499,-0.03550667661891134
56,100,38,0,0.0,90.0,0.9954901571741469,-0.09486488796911148
57,100,37,0,0.0,90.0,0.9979535341924998,0.06394328418762366
58,100,29,0,0.0,90.0,0.9978370466136989,-0.06573605103176543
59,100,43,0,0.0,90.0,0.9999823050298557,0.005948918151767705run,N,n1,n2,angle1_deg,angle2_deg,dirX,dirY
1,100,0,20,0.0,90.0,-0.09284086604070188,0.9956809597420311
2,100,0,20,0.0,90.0,0.2962398628924034,0.9551135763004787
3,100,0,20,0.0,90.0,-0.167525080107432,0.9858678144330499
4,100,0,20,0.0,90.0,0.7123551145691559,0.7018192008966161
5,100,0,20,0.0,90.0,-0.1149840995704493,0.9933673322824608
6,100,0,20,0.0,90.0,-0.9444538293591406,-0.3286441300386413
7,100,0,20,0.0,90.0,0.8914803656819005,-0.45305933121795966
8,100,0,20,0.0,90.0,0.18042250921730682,0.9835892019373387
9,100,0,20,0.0,90.0,-0.8151380795376495,0.5792667013454793
10,100,0,20,0.0,90.0,-0.167649576860376,-0.9858466510459611
11,100,0,20,0.0,90.0,-0.04348901013659628,0.9990539054512219
12,100,0,20,0.0,90.0,-0.9961765557589227,-0.08736286256922834
13,100,0,20,0.0,90.0,-0.19978235067695813,0.9798402994151592
14,100,0,20,0.0,90.0,-0.12110997311237426,-0.9926390957506762
15,100,0,20,0.0,90.0,-0.2056211981149422,0.978631658432209
16,100,0,20,0.0,90.0,0.04420656354672686,0.9990224120305757
17,100,0,20,0.0,90.0,-0.19697554914400014,0.9804084011468994
18,100,0,20,0.0,90.0,-0.358794002569561,0.9334167685016773
19,100,0,20,0.0,90.0,-0.04240759603399332,-0.9991003932531592
20,100,0,20,0.0,90.0,0.1050124367045656,0.9944709086430682
21,100,0,20,0.0,90.0,0.5328376237066931,0.8462175055874256
22,100,0,20,0.0,90.0,0.4404101610650779,-0.8977966863553419
23,100,0,20,0.0,90.0,0.22475223661957786,0.9744159441093405
24,100,0,20,0.0,90.0,0.12172758778347077,0.9925635467678718
25,100,0,20,0.0,90.0,-0.07375170364261865,0.9972766347457517
26,100,0,20,0.0,90.0,-0.07290112030973564,0.9973391733295075
27,100,0,20,0.0,90.0,0.17422965939560595,0.9847050450702947
28,100,0,20,0.0,90.0,-0.7913532467303632,0.6113591733909886
29,100,0,20,0.0,90.0,0.090286521727556,0.9959158317821538
30,100,0,20,0.0,90.0,-0.25711841954029047,-0.9663799037299479
31,100,0,20,0.0,90.0,-9.026779376578679E-4,0.9999995925861874
32,100,0,20,0.0,90.0,-0.15838468930598967,0.9873774811050966
33,100,0,20,0.0,90.0,0.9254825842323373,0.37879016128014026
34,100,0,20,0.0,90.0,-0.6672603374367053,0.744824571348082
35,100,0,20,0.0,90.0,-0.05728542642269137,0.998357841617709
36,100,0,20,0.0,90.0,0.1953449727035668,0.9807345928636568
37,100,0,20,0.0,90.0,0.8074534406977515,-0.5899313020219921
38,100,0,20,0.0,90.0,-0.009048778137108039,0.9999590589690287
39,100,0,20,0.0,90.0,0.2224940180128232,0.9749340551793797
40,100,0,20,0.0,90.0,0.05742971570211083,0.9983495518877017
41,100,0,20,0.0,90.0,0.17303295504120075,0.9849160352383902
42,100,0,20,0.0,90.0,0.618565996879692,0.7857328474133132
43,100,0,20,0.0,90.0,0.6351633903833913,0.7723778010252984
44,100,0,20,0.0,90.0,-0.0587086033304549,0.9982751624151466
45,100,0,20,0.0,90.0,0.088200963844247,0.9961027005168422
46,100,0,20,0.0,90.0,-0.40493804121106297,0.9143441271097811
47,100,0,20,0.0,90.0,-0.21885270672223942,0.9757579068397804
48,100,0,20,0.0,90.0,0.2521102320121175,0.967698522740836
49,100,0,20,0.0,90.0,-0.9755750504468602,-0.21966638556139204
50,100,0,20,0.0,90.0,0.05123331394627056,-0.9986867114075779
51,100,0,20,0.0,90.0,0.25789770991424343,0.9661722264798283
52,100,0,20,0.0,90.0,-0.22055875292879765,0.9753736906983362
53,100,0,20,0.0,90.0,-0.2817762175919925,0.9594801525824024
54,100,0,20,0.0,90.0,0.9063771330839163,0.4224695167968698
55,100,0,20,0.0,90.0,0.13287126815124511,-0.9911333039000758
56,100,0,20,0.0,90.0,0.23106918322154182,0.9729373220127437
57,100,0,20,0.0,90.0,-0.25852231164032896,0.9660052869338452
58,100,0,20,0.0,90.0,0.36137289406231554,0.9324213808343449
59,100,0,20,0.0,90.0,-0.11602714056588548,0.9932460433609108
60,100,0,20,0.0,90.0,0.281098059397177,0.9596790510390133
61,100,0,20,0.0,90.0,0.3434388671754981,0.939175034012942
62,100,0,20,0.0,90.0,-0.2015777698568194,0.9794725124777883
63,100,0,20,0.0,90.0,-0.39139116408561364,-0.9202244056075172
64,100,0,20,0.0,90.0,-0.9028688406839107,0.4299161040506521
65,100,0,20,0.0,90.0,0.4764657609261577,0.8791930269656701
66,100,0,20,0.0,90.0,-0.9790619996895573,0.20356227735974422
67,100,0,20,0.0,90.0,-0.12667530576908695,0.9919442357856152
68,100,0,20,0.0,90.0,-0.3694558046952088,0.9292483028647487
69,100,0,20,0.0,90.0,0.5488366428442008,0.8359296259084895
70,100,0,20,0.0,90.0,0.36556297636382695,0.9307866083652149
71,100,0,20,0.0,90.0,-0.3142539211437431,0.9493389663580559
72,100,0,20,0.0,90.0,-0.9379450285328068,-0.3467839723092636
73,100,0,20,0.0,90.0,0.29411958510496655,0.9557686276801945
74,100,0,20,0.0,90.0,-0.2070472827253223,0.9783309372170853
75,100,0,20,0.0,90.0,0.4429413704481223,0.8965505799147861
76,100,0,20,0.0,90.0,-0.14472536302716812,0.9894718638226427
77,100,0,20,0.0,90.0,0.5223258324912807,0.8527459907336361
78,100,0,20,0.0,90.0,-0.1854261165792809,0.9826582087838716
79,100,0,20,0.0,90.0,0.15403433946072967,0.9880654949277891
80,100,0,20,0.0,90.0,-0.329616346495176,0.9441149634039131
81,100,0,20,0.0,90.0,-0.4561127269200236,0.8899220080105784
82,100,0,20,0.0,90.0,0.1417916299769098,0.9898965267483724
83,100,0,20,0.0,90.0,-0.8812791477566964,0.47259608941381537
84,100,0,20,0.0,90.0,-0.49881006185318166,0.8667113257561743
85,100,0,20,0.0,90.0,0.11464842559188443,0.9934061296918306
86,100,0,20,0.0,90.0,0.5029618132642796,-0.8643086337633727
87,100,0,20,0.0,90.0,-0.4122662127476368,0.9110634279931997
88,100,0,20,0.0,90.0,-0.018834786021269385,0.9998226096841044
89,100,0,20,0.0,90.0,-0.9419776780859764,0.335675518898463
90,100,0,20,0.0,90.0,0.6089963259946563,0.7931730422329104
91,100,0,20,0.0,90.0,0.10729582388907913,0.9942271401324567
92,100,0,20,0.0,90.0,-0.40463969759086366,-0.9144761971388728
93,100,0,20,0.0,90.0,0.09318436983554472,0.995648870444974
94,100,0,20,0.0,90.0,0.033201428204417655,0.9994486806060563
95,100,0,20,0.0,90.0,-0.28951402607892507,0.957173771424798
96,100,0,20,0.0,90.0,0.7410396129728132,0.6714613108773306
97,100,0,20,0.0,90.0,-0.28726270068095844,0.9578518365579731
98,100,0,20,0.0,90.0,0.8182695098264919,-0.5748347669446522
99,100,0,20,0.0,90.0,0.3378765638877934,0.9411904310899988
100,100,0,20,0.0,90.0,0.009674411324472242,0.9999532017877261
