run,N,p,n1,n2,angle1_deg,angle2_deg,dirX,dirY,bbox_X,bbox_Y
1,10,0.0,0,0,0.0,90.0,-0.4058123435018175,-0.9139564222989862,38.00389260142008,85.38041127036115
2,10,0.0,0,0,0.0,90.0,-0.8910983627738712,0.4538102112797001,38.934237209694594,62.820847671401395
3,10,0.0,0,0,0.0,90.0,0.6817816007486023,0.731555772911863,74.89047117420267,71.98071392991679
4,10,0.0,0,0,0.0,90.0,0.9999602998770424,-0.008910593123664464,39.45885809299689,89.08368301053855
5,10,0.0,0,0,0.0,90.0,0.9294733086026639,-0.3688893717569229,46.44437521648615,59.69532366366889
6,10,0.0,0,0,0.0,90.0,0.7853608390615764,0.6190382479851277,53.116268280767855,50.856010176275326
7,10,0.0,0,0,0.0,90.0,-0.6370060668567656,-0.7708587878383911,50.31833321915978,60.144839614649115
8,10,0.0,0,0,0.0,90.0,-0.6270705654925546,0.7789624547388968,70.2151750882406,57.58465749376385
9,10,0.0,0,0,0.0,90.0,-0.7216260377518003,0.6922830791219999,49.670505674606176,53.8493125754331
10,10,0.0,0,0,0.0,90.0,0.4337425159017864,0.9010368637848224,66.33746082494919,64.16526233437902
11,10,0.0,0,0,0.0,90.0,0.33941539689670425,-0.9406365867589102,46.12731093846422,105.56990438124136
12,10,0.0,0,0,0.0,90.0,-0.12080624519230522,-0.9926761058484972,94.67092474858055,46.53393871575559
13,10,0.0,0,0,0.0,90.0,-0.7632729268589558,0.6460761867799827,91.35569301747367,55.44651774065133
14,10,0.0,0,0,0.0,90.0,0.5888631266576169,-0.8082327746775774,49.96442751831664,67.07003618417943
15,10,0.0,0,0,0.0,90.0,-0.9979693945769557,-0.06369527052854572,62.699890801662136,54.682124970325205
16,10,0.0,0,0,0.0,90.0,0.8010027253905099,0.5986607001607633,64.62188392952785,73.12502686449358
17,10,0.0,0,0,0.0,90.0,-0.4072159397302325,-0.9133319103314106,63.258151221585535,53.59365023637815
18,10,0.0,0,0,0.0,90.0,-0.7604146911768885,0.6494378318533324,50.651413816865386,45.089714067771894
19,10,0.0,0,0,0.0,90.0,-0.1834654215689623,-0.983026163989811,40.916789758465654,70.1048736828405
20,10,0.0,0,0,0.0,90.0,0.36386244488614977,-0.9314526940223392,54.366866133382935,52.680901063254744
21,10,0.0,0,0,0.0,90.0,-0.9382854210407313,-0.34586192138253335,46.493785156425005,77.09517242109506
22,10,0.0,0,0,0.0,90.0,-0.5303317511836626,0.8477902061751302,71.41816308985258,44.204271560531225
23,10,0.0,0,0,0.0,90.0,-0.9631382825808066,-0.2690067817496323,44.51099836725321,72.82824736950644
24,10,0.0,0,0,0.0,90.0,-0.37421692205563295,0.9273411967809951,65.15027079650812,52.637948051527914
25,10,0.0,0,0,0.0,90.0,-0.3703216944120458,0.9289035701555847,62.87453919608028,63.164154155182025
26,10,0.0,0,0,0.0,90.0,0.9999421782227889,0.010753613860662753,41.71605935881865,67.14265658493137
27,10,0.0,0,0,0.0,90.0,0.4392695289657357,-0.8983553199721258,61.01343194448472,87.18961340774621
28,10,0.0,0,0,0.0,90.0,0.9368956364855242,-0.34960916225749095,48.542992541757286,59.02978503864499
29,10,0.0,0,0,0.0,90.0,-0.1294814372662944,-0.9915818460437115,50.89409071628436,71.49119385675306
30,10,0.0,0,0,0.0,90.0,-0.6682479385662775,-0.7439386349706006,54.57579344847057,58.03989147074872
31,10,0.0,0,0,0.0,90.0,0.7312218996077356,-0.6821396730392204,62.05659537671307,38.63069960804059
32,10,0.0,0,0,0.0,90.0,0.775520479884545,-0.6313224099298591,41.539859209728746,62.799023064052186
33,10,0.0,0,0,0.0,90.0,-0.979802399497104,0.19996814231201263,74.3606031368361,40.78068148214321
34,10,0.0,0,0,0.0,90.0,0.7973212006159579,0.6035552195518877,50.75155541709252,50.34386735237001
35,10,0.0,0,0,0.0,90.0,0.8767228524270567,0.4809958835917052,49.65103887027264,61.50069340697063
36,10,0.0,0,0,0.0,90.0,-0.37501798082585314,0.9270175370818505,73.91663885174398,53.388564464495886
37,10,0.0,0,0,0.0,90.0,-0.7854371962923937,-0.618941362877247,52.399466843519534,55.75707366383273
38,10,0.0,0,0,0.0,90.0,0.8348443126545574,-0.5504861248281735,60.948751841121975,72.03816145185701
39,10,0.0,0,0,0.0,90.0,0.14843590245816105,-0.9889220307291325,54.55323368719151,53.02650747352477
40,10,0.0,0,0,0.0,90.0,0.22178365578575068,0.9750958978614913,53.655360566772174,44.07179595528486
41,10,0.0,0,0,0.0,90.0,-0.921252972960544,0.38896395695663005,35.57157513869731,69.63983807175373
42,10,0.0,0,0,0.0,90.0,-0.3601217005134884,0.9329053332569566,49.19077091578602,62.09576594827279
43,10,0.0,0,0,0.0,90.0,0.9402764476729238,-0.340411812297381,57.11422306714284,56.79139821343976
44,10,0.0,0,0,0.0,90.0,-0.9088687975469902,-0.41708213680939143,50.15762870089133,50.99903185578279
45,10,0.0,0,0,0.0,90.0,-0.10089393921059156,-0.9948971871658746,52.95819103033945,48.675466661558666
46,10,0.0,0,0,0.0,90.0,0.6212169493505807,-0.7836386296243683,47.7748812272301,61.94422292694697
47,10,0.0,0,0,0.0,90.0,0.8857602553800625,0.46414304905820397,52.671836552913604,63.81856381700581
48,10,0.0,0,0,0.0,90.0,-0.05157692741494877,0.9986690245313674,55.507038875664755,69.07928055312712
49,10,0.0,0,0,0.0,90.0,-0.7859566629140016,0.6182815895860773,55.86948361831989,51.88522268675349
50,10,0.0,0,0,0.0,90.0,0.7010171749729242,-0.7131443895824887,50.04156764191987,47.2010278871049
51,10,0.0,0,0,0.0,90.0,-0.20692297693732672,-0.9783572361951408,58.20168469588826,52.199949617818206
52,10,0.0,0,0,0.0,90.0,-0.4965905852011281,-0.867984902339667,53.99920648443156,40.96812190603801
53,10,0.0,0,0,0.0,90.0,-0.23642203565990946,-0.971650462385741,52.8552010557868,67.11848309128825
54,10,0.0,0,0,0.0,90.0,0.9979618538659998,0.06381330761163316,40.647829260124794,86.40736063572677
55,10,0.0,0,0,0.0,90.0,0.9779549998553853,0.20881575193900828,49.20087423636781,60.70100077097804
56,10,0.0,0,0,0.0,90.0,0.9935356815905387,0.11352025989409856,53.83551851518908,84.17335436746723
57,10,0.0,0,0,0.0,90.0,-0.27504677303617703,-0.9614308465211555,66.15121448042228,42.31960098739383
58,10,0.0,0,0,0.0,90.0,0.8766578985173785,-0.4811142577050631,32.52504616173724,65.38696969713419
59,10,0.0,0,0,0.0,90.0,0.8159026405307374,0.578189312574152,49.93376327869002,53.98058932638329
60,10,0.0,0,0,0.0,90.0,0.280310318823333,-0.9599094359163063,55.22433179338172,70.4787289474728
61,10,0.0,0,0,0.0,90.0,-0.6675339521169813,0.744579359619298,59.162997718575824,57.024109040335404
62,10,0.0,0,0,0.0,90.0,-0.9390185662568988,-0.3438664453313789,55.04188353222906,45.980143477976924
63,10,0.0,0,0,0.0,90.0,-0.9736120381920538,-0.2282095508244886,43.94682528497427,61.83713425119423
64,10,0.0,0,0,0.0,90.0,-0.15548854061062442,-0.9878376960507117,48.75478471811122,76.56441703042694
